source_entity_id,target_entity_id,relationship_type,confidence,created_at
person-4,goal-0,accountable_for,1.0,2025-01-02T10:02:00
person-31,goal-1,accountable_for,1.0,2025-01-02T10:03:00
person-36,goal-2,accountable_for,1.0,2025-01-02T10:04:00
person-30,goal-3,accountable_for,1.0,2025-01-02T10:05:00
person-6,goal-4,accountable_for,1.0,2025-01-02T10:06:00
init-0,goal-0,belongs_to,1.0,2025-01-03T02:42:00
person-26,init-0,owns,1.0,2025-01-03T02:42:00
init-1,goal-1,belongs_to,1.0,2025-01-03T02:43:00
person-6,init-1,owns,1.0,2025-01-03T02:43:00
init-2,goal-2,belongs_to,1.0,2025-01-03T02:44:00
person-11,init-2,owns,1.0,2025-01-03T02:44:00
init-3,goal-3,belongs_to,1.0,2025-01-03T02:45:00
person-3,init-3,owns,1.0,2025-01-03T02:45:00
init-4,goal-4,belongs_to,1.0,2025-01-03T02:46:00
person-31,init-4,owns,1.0,2025-01-03T02:46:00
init-5,goal-0,belongs_to,1.0,2025-01-03T02:47:00
person-0,init-5,owns,1.0,2025-01-03T02:47:00
init-6,goal-1,belongs_to,1.0,2025-01-03T02:48:00
person-9,init-6,owns,1.0,2025-01-03T02:48:00
init-7,goal-2,belongs_to,1.0,2025-01-03T02:49:00
person-3,init-7,owns,1.0,2025-01-03T02:49:00
init-8,goal-3,belongs_to,1.0,2025-01-03T02:50:00
person-4,init-8,owns,1.0,2025-01-03T02:50:00
init-9,goal-4,belongs_to,1.0,2025-01-03T02:51:00
person-37,init-9,owns,1.0,2025-01-03T02:51:00
init-10,goal-0,belongs_to,1.0,2025-01-03T02:52:00
person-13,init-10,owns,1.0,2025-01-03T02:52:00
init-11,goal-1,belongs_to,1.0,2025-01-03T02:53:00
person-29,init-11,owns,1.0,2025-01-03T02:53:00
init-12,goal-2,belongs_to,1.0,2025-01-03T02:54:00
person-34,init-12,owns,1.0,2025-01-03T02:54:00
init-13,goal-3,belongs_to,1.0,2025-01-03T02:55:00
person-23,init-13,owns,1.0,2025-01-03T02:55:00
init-14,goal-4,belongs_to,1.0,2025-01-03T02:56:00
person-6,init-14,owns,1.0,2025-01-03T02:56:00
proj-0,init-0,belongs_to,1.0,2025-01-03T19:22:00
person-18,proj-0,owns,1.0,2025-01-03T19:22:00
proj-1,init-1,belongs_to,1.0,2025-01-03T19:23:00
person-16,proj-1,owns,1.0,2025-01-03T19:23:00
